id;note_timestamp;note;contact_id
1;2024-03-19T23:44:51;../fake-data/blob/hipster.txt;1
2;2024-03-19T19:11:48;../fake-data/blob/hipster.txt;2
3;2024-03-19T21:35:08;../fake-data/blob/hipster.txt;3
4;2024-03-20T04:18:16;../fake-data/blob/hipster.txt;4
5;2024-03-19T16:14:38;../fake-data/blob/hipster.txt;5
6;2024-03-19T23:29:37;../fake-data/blob/hipster.txt;6
7;2024-03-19T19:24:42;../fake-data/blob/hipster.txt;7
8;2024-03-20T03:48:23;../fake-data/blob/hipster.txt;8
9;2024-03-20T00:44:27;../fake-data/blob/hipster.txt;9
10;2024-03-19T17:34:25;../fake-data/blob/hipster.txt;10
