id;interaction_timestamp;type;summary;contact_id
1;2024-03-19T16:51:24;CALL;../fake-data/blob/hipster.txt;1
2;2024-03-20T05:50:07;CALL;../fake-data/blob/hipster.txt;2
3;2024-03-19T14:23:05;CALL;../fake-data/blob/hipster.txt;3
4;2024-03-20T07:47:01;MEETING;../fake-data/blob/hipster.txt;4
5;2024-03-19T14:41:59;EMAIL;../fake-data/blob/hipster.txt;5
6;2024-03-20T02:40:48;EMAIL;../fake-data/blob/hipster.txt;6
7;2024-03-19T16:24:11;MEETING;../fake-data/blob/hipster.txt;7
8;2024-03-20T00:09:01;MEETING;../fake-data/blob/hipster.txt;8
9;2024-03-20T05:28:35;CALL;../fake-data/blob/hipster.txt;9
10;2024-03-19T14:44:15;EMAIL;../fake-data/blob/hipster.txt;10
